timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),State
11/10/2022 1:53:00 PM,1456,681,55,60,108,1240,CLEAR
11/10/2022 1:54:00 PM,1456,681,55,60,108,1240,CLEAR
11/10/2022 1:55:00 PM,1456,681,55,60,108,1240,CLEAR
11/10/2022 1:56:00 PM,1456,681,55,60,108,1240,CLEAR
11/10/2022 2:13:00 PM,1551,619,59,64,98,1288,CLEAR
11/10/2022 2:33:00 PM,1598,527,58,60,106,1283,CLEAR
11/10/2022 2:53:00 PM,1646,617,60,63,113,1235,CLEAR
11/10/2022 3:13:00 PM,1451,567,63,62,105,1184,CLEAR
11/10/2022 3:33:00 PM,1636,592,61,57,105,1323,CLEAR
11/10/2022 3:51:00 PM,1525,487,60,56,103,1090,CLEAR
11/10/2022 3:52:00 PM,1525,487,60,56,103,1090,CLEAR
11/10/2022 4:12:00 PM,1531,522,55,62,101,1310,CLEAR
11/10/2022 4:26:00 PM,1368,450,59,54,115,1264,CLEAR
11/10/2022 4:28:00 PM,1368,450,59,54,115,1264,CLEAR
11/10/2022 4:32:00 PM,1596,489,56,62,113,1158,CLEAR
11/10/2022 4:33:00 PM,1596,489,56,62,113,1158,CLEAR
11/10/2022 4:42:00 PM,1390,457,60,54,110,1166,CLEAR
11/10/2022 4:53:00 PM,685,37,60,62,116,1126,CLEAR
11/10/2022 5:08:00 PM,725,40,60,64,98,1180,CLEAR
11/10/2022 5:08:00 PM,725,40,60,64,98,1180,CLEAR
11/10/2022 5:09:00 PM,725,40,60,64,98,1180,CLEAR
11/10/2022 5:10:00 PM,725,40,60,64,98,1180,CLEAR
11/10/2022 5:13:00 PM,725,40,60,64,98,1180,CLEAR
11/10/2022 5:33:00 PM,721,40,64,56,98,1028,CLEAR
11/10/2022 5:53:00 PM,706,37,58,54,108,1159,CLEAR
11/10/2022 6:13:00 PM,713,35,60,55,91,1503,CLEAR
11/10/2022 6:32:00 PM,791,34,81,52,113,1265,CLEAR
11/10/2022 6:52:00 PM,810,29,81,0,93,572,CLEAR
11/10/2022 6:58:00 PM,754,32,70,0,74,695,CLEAR
11/10/2022 6:59:00 PM,784,24,73,7,80,645,CLEAR
11/10/2022 7:00:00 PM,784,24,73,7,80,645,CLEAR
11/10/2022 7:01:00 PM,784,24,73,7,80,645,CLEAR
11/10/2022 7:02:00 PM,784,24,73,7,80,645,CLEAR
11/10/2022 7:05:00 PM,784,24,73,7,80,645,CLEAR
11/10/2022 7:06:00 PM,776,612,66,58,111,1244,CLEAR
11/10/2022 7:08:00 PM,776,612,66,58,111,1244,CLEAR
11/10/2022 7:09:00 PM,776,612,66,58,111,1244,CLEAR
11/10/2022 7:13:00 PM,776,612,66,58,111,1244,CLEAR
11/10/2022 7:15:00 PM,800,630,65,58,118,1088,CLEAR
11/10/2022 7:33:00 PM,679,609,65,64,106,1238,CLEAR
11/10/2022 7:41:00 PM,645,646,66,56,106,1169,CLEAR
11/10/2022 7:41:00 PM,645,646,66,56,106,1169,CLEAR
11/10/2022 7:42:00 PM,693,622,63,62,103,1249,CLEAR
11/10/2022 7:43:00 PM,693,622,63,62,103,1249,CLEAR
11/10/2022 7:53:00 PM,735,615,61,54,108,1119,CLEAR
11/10/2022 8:13:00 PM,666,537,60,60,105,1311,HI
11/10/2022 8:23:00 PM,666,537,60,60,105,1311,HI
11/10/2022 8:29:00 PM,666,524,60,56,116,1144,HI
11/10/2022 8:33:00 PM,655,557,59,63,106,1244,CLEAR
11/10/2022 8:53:00 PM,656,547,55,54,98,1225,CLEAR
11/10/2022 9:12:00 PM,607,520,66,64,103,1126,CLEAR
11/10/2022 9:27:00 PM,607,462,60,54,118,1208,HI
11/10/2022 9:31:00 PM,630,452,55,63,108,1146,CLEAR
11/10/2022 9:32:00 PM,630,452,55,63,108,1146,CLEAR
11/10/2022 9:47:00 PM,640,480,60,60,111,1183,CLEAR
11/10/2022 9:50:00 PM,640,480,60,60,111,1183,CLEAR
11/10/2022 9:53:00 PM,665,460,60,55,96,1245,CLEAR
11/10/2022 10:11:00 PM,592,455,63,64,110,1179,CLEAR
11/10/2022 10:13:00 PM,592,455,63,64,110,1179,CLEAR
11/10/2022 10:13:00 PM,1668,655,65,56,113,1195,CLEAR
11/10/2022 10:14:00 PM,1668,655,65,56,113,1195,CLEAR
11/10/2022 10:15:00 PM,1668,655,65,56,113,1195,CLEAR
11/10/2022 10:15:00 PM,1668,655,65,56,113,1195,CLEAR
11/10/2022 10:22:00 PM,1466,650,66,64,103,1188,CLEAR
11/10/2022 10:29:00 PM,1466,650,66,64,103,1188,CLEAR
11/10/2022 10:33:00 PM,1701,698,60,56,111,1210,CLEAR
11/10/2022 10:40:00 PM,1573,600,63,54,101,1203,CLEAR
11/10/2022 10:41:00 PM,1550,654,58,57,101,1251,CLEAR
11/10/2022 10:52:00 PM,1673,570,61,56,115,1225,CLEAR
11/10/2022 10:53:00 PM,1673,570,61,56,115,1225,CLEAR
11/10/2022 11:13:00 PM,1653,540,64,64,106,1169,CLEAR
11/10/2022 11:15:00 PM,1653,540,64,64,106,1169,CLEAR
11/10/2022 11:22:00 PM,1513,624,61,61,113,1104,CLEAR
11/10/2022 11:33:00 PM,1596,517,59,56,103,1110,CLEAR
11/10/2022 11:52:00 PM,1628,587,65,61,108,1103,CLEAR
11/11/2022 12:11:00 AM,1613,530,60,62,106,1318,CLEAR
11/11/2022 12:12:00 AM,1613,530,60,62,106,1318,CLEAR
11/11/2022 12:17:00 AM,1506,545,64,57,108,1150,CLEAR
11/11/2022 12:33:00 AM,1620,507,58,56,101,1084,CLEAR
11/11/2022 12:40:00 AM,1398,460,56,57,116,1313,HI
11/11/2022 12:44:00 AM,1398,460,56,57,116,1313,HI
11/11/2022 12:46:00 AM,1585,525,61,62,115,1290,HI
11/11/2022 12:47:00 AM,1585,525,61,62,115,1290,HI
11/11/2022 12:48:00 AM,1585,525,61,62,115,1290,HI
11/11/2022 12:48:00 AM,1585,525,61,62,115,1290,HI
11/11/2022 12:52:00 AM,1411,480,60,56,98,1220,CLEAR
11/11/2022 12:53:00 AM,1411,480,60,56,98,1220,CLEAR
11/11/2022 1:00:00 AM,1433,505,59,56,106,1154,CLEAR
11/11/2022 1:13:00 AM,1603,475,65,64,96,1173,CLEAR
11/11/2022 1:15:00 AM,1603,475,65,64,96,1173,CLEAR
11/11/2022 1:16:00 AM,1603,475,65,64,96,1173,CLEAR
11/11/2022 1:25:00 AM,1498,489,59,56,111,1225,CLEAR
11/11/2022 1:27:00 AM,778,40,65,57,111,1130,CLEAR
11/11/2022 1:28:00 AM,778,40,65,57,111,1130,CLEAR
11/11/2022 1:28:00 AM,778,40,65,57,111,1130,CLEAR
11/11/2022 1:29:00 AM,778,40,65,57,111,1130,CLEAR
11/11/2022 1:33:00 AM,778,40,65,57,111,1130,CLEAR
11/11/2022 1:36:00 AM,693,39,60,61,113,1174,CLEAR
11/11/2022 1:53:00 AM,896,35,59,61,113,1135,CLEAR
11/11/2022 1:55:00 AM,749,40,63,58,101,1051,CLEAR
11/11/2022 2:13:00 AM,705,35,65,58,116,1220,CLEAR
11/11/2022 2:32:00 AM,670,37,55,66,98,1240,CLEAR
11/11/2022 2:52:00 AM,681,34,71,56,78,1376,CLEAR
11/11/2022 3:13:00 AM,836,30,79,49,106,865,CLEAR
11/11/2022 3:19:00 AM,853,34,81,0,98,190,CLEAR
11/11/2022 3:20:00 AM,853,34,81,0,98,190,CLEAR
11/11/2022 3:30:00 AM,885,35,69,0,81,730,CLEAR
11/11/2022 3:30:00 AM,885,35,69,0,81,730,CLEAR
11/11/2022 3:33:00 AM,885,35,69,0,81,730,CLEAR
11/11/2022 3:33:00 AM,885,35,69,0,81,730,CLEAR
11/11/2022 3:37:00 AM,883,25,69,28,81,681,CLEAR
11/11/2022 3:38:00 AM,883,25,69,28,81,681,CLEAR
11/11/2022 3:40:00 AM,883,25,69,28,81,681,CLEAR
11/11/2022 3:40:00 AM,883,25,69,28,81,681,CLEAR
11/11/2022 3:43:00 AM,788,582,60,54,105,1181,CLEAR
11/11/2022 3:53:00 AM,665,587,55,61,103,1155,CLEAR
11/11/2022 3:57:00 AM,705,678,58,62,111,1255,CLEAR
11/11/2022 4:00:00 AM,705,678,58,62,111,1255,CLEAR
11/11/2022 4:01:00 AM,705,678,58,62,111,1255,CLEAR
11/11/2022 4:01:00 AM,705,678,58,62,111,1255,CLEAR
11/11/2022 4:02:00 AM,705,678,58,62,111,1255,CLEAR
11/11/2022 4:11:00 AM,746,584,63,62,96,1264,CLEAR
11/11/2022 4:22:00 AM,696,559,55,62,111,1105,CLEAR
11/11/2022 4:27:00 AM,635,557,65,58,103,1154,CLEAR
11/11/2022 4:29:00 AM,635,557,65,58,103,1154,CLEAR
11/11/2022 4:33:00 AM,635,557,65,58,103,1154,CLEAR
11/11/2022 4:40:00 AM,654,614,66,62,108,1233,CLEAR
11/11/2022 4:53:00 AM,612,567,61,60,106,1104,CLEAR
11/11/2022 5:13:00 AM,600,605,68,62,110,1223,CLEAR
11/11/2022 5:32:00 AM,660,547,56,54,106,1306,HI
11/11/2022 5:52:00 AM,654,542,60,64,103,1203,CLEAR
11/11/2022 5:55:00 AM,654,542,60,64,103,1203,CLEAR
11/11/2022 5:56:00 AM,654,542,60,64,103,1203,CLEAR
11/11/2022 5:57:00 AM,654,542,60,64,103,1203,CLEAR
11/11/2022 5:59:00 AM,654,542,60,64,103,1203,CLEAR
